%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=208927, 2022/04/4 19:19:21.27)
1 10 8.079393e-02 9.664360e-01 1.660559e-02 1.660559e-02 1.737902e-02 5.721543e-02 2.959682e-01 3.096621e-01 9.664360e-01 
2 19 6.577464e-02 9.353209e-01 1.604167e-02 1.604167e-02 1.698407e-02 5.566823e-02 2.893234e-01 3.019687e-01 9.353209e-01 
3 28 5.723518e-02 9.200335e-01 1.594187e-02 1.594187e-02 1.656790e-02 5.460027e-02 2.866497e-01 2.943714e-01 9.200335e-01 
4 37 5.293895e-02 9.061994e-01 1.546135e-02 1.546135e-02 1.633264e-02 5.324636e-02 2.775071e-01 3.055161e-01 9.061994e-01 
5 46 4.633372e-02 8.819948e-01 1.522261e-02 1.522261e-02 1.598691e-02 5.144022e-02 2.732032e-01 3.046610e-01 8.819948e-01 
6 55 4.162197e-02 8.534356e-01 1.495416e-02 1.495416e-02 1.596252e-02 5.103560e-02 2.710202e-01 2.950941e-01 8.534356e-01 
7 64 3.638603e-02 8.244612e-01 1.458322e-02 1.458322e-02 1.561917e-02 4.956480e-02 2.649590e-01 2.965735e-01 8.244612e-01 
8 73 3.348285e-02 7.979540e-01 1.416332e-02 1.416332e-02 1.571475e-02 4.946472e-02 2.587485e-01 2.880445e-01 7.979540e-01 
9 82 3.056068e-02 7.781146e-01 1.419666e-02 1.419666e-02 1.561036e-02 4.857880e-02 2.510783e-01 2.798855e-01 7.781146e-01 
10 91 2.989848e-02 7.509233e-01 1.375284e-02 1.375284e-02 1.594672e-02 4.761519e-02 2.622404e-01 2.783069e-01 7.509233e-01 
11 100 3.178843e-02 7.257542e-01 1.344776e-02 1.344776e-02 1.568901e-02 4.710359e-02 2.753290e-01 2.860837e-01 7.257542e-01 
12 109 3.031059e-02 7.076289e-01 1.302784e-02 1.302784e-02 1.590461e-02 4.601748e-02 2.736890e-01 2.824931e-01 7.076289e-01 
13 118 3.065781e-02 6.841615e-01 1.273832e-02 1.273832e-02 1.549715e-02 4.507384e-02 2.689680e-01 3.116180e-01 6.841615e-01 
14 127 2.612431e-02 6.661672e-01 1.238829e-02 1.238829e-02 1.514999e-02 4.389611e-02 2.609507e-01 3.079775e-01 6.661672e-01 
15 136 2.179655e-02 6.494465e-01 1.212480e-02 1.212480e-02 1.477785e-02 4.286445e-02 2.558630e-01 2.980660e-01 6.494465e-01 
16 145 1.835838e-02 6.278585e-01 1.193839e-02 1.193839e-02 1.428879e-02 4.160838e-02 2.487388e-01 2.888105e-01 6.278585e-01 
17 154 1.583967e-02 6.097739e-01 1.157239e-02 1.157239e-02 1.392067e-02 4.048858e-02 2.408713e-01 2.820743e-01 6.097739e-01 
18 163 1.410108e-02 5.940563e-01 1.182344e-02 1.182344e-02 1.347171e-02 3.912765e-02 2.342242e-01 2.734985e-01 5.940563e-01 
19 172 1.470063e-02 5.867847e-01 1.162597e-02 1.162597e-02 1.496317e-02 3.814755e-02 2.292972e-01 2.654053e-01 5.867847e-01 
20 181 1.289743e-02 5.687624e-01 1.162718e-02 1.162718e-02 1.483678e-02 3.724898e-02 2.232609e-01 2.680282e-01 5.687624e-01 
21 190 1.224714e-02 5.506917e-01 1.129854e-02 1.129854e-02 1.440171e-02 3.704194e-02 2.235498e-01 2.678004e-01 5.506917e-01 
22 199 1.171267e-02 5.360147e-01 1.146003e-02 1.146003e-02 1.398928e-02 3.610384e-02 2.176130e-01 2.713876e-01 5.360147e-01 
23 208 1.071038e-02 5.179915e-01 1.133699e-02 1.133699e-02 1.376459e-02 3.481395e-02 2.101298e-01 2.676062e-01 5.179915e-01 
24 217 1.036549e-02 5.016016e-01 1.118256e-02 1.118256e-02 1.405436e-02 3.389416e-02 2.035609e-01 2.629178e-01 5.016016e-01 
