%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=208927, 2022/04/4 19:19:21.27)
1 10 8.079393e-02 5.819945e+01 -6.895656853182868763e-04 -5.405969367090473088e-04 -2.141828536103518809e-04 -7.004402696412275679e-05
2 19 6.577464e-02 5.830571e+01 -6.895656853182868763e-04 -4.531620748210359864e-04 -2.202676174820933537e-04 -4.836620087412613414e-05
3 28 5.723518e-02 5.771178e+01 -6.895656853182868763e-04 -3.793367174139491852e-04 -2.762510427085031108e-04 -9.814780312219203507e-05
4 37 5.293895e-02 5.861065e+01 -6.895656853182868763e-04 -6.640915359154807296e-04 -3.180921876622831365e-04 -9.006398701307067526e-05
5 46 4.633372e-02 5.793977e+01 -6.895656853182868763e-04 -3.746135293814164559e-04 -3.074936201577506650e-04 -2.297786068177364483e-04
6 55 4.162197e-02 5.707012e+01 -6.895656853182868763e-04 -6.464951135407297385e-04 -3.297028167998638246e-04 -1.688638733308486643e-04
7 64 3.638603e-02 5.653492e+01 -6.895656853182868763e-04 -6.005477982843724109e-04 -4.412827690652392615e-04 -2.510876657869574023e-04
8 73 3.348285e-02 5.633948e+01 -6.895656853182868763e-04 -6.329851934033169873e-04 -4.523630688086995207e-04 -1.519217469758982750e-04
9 82 3.056068e-02 5.480971e+01 -6.895656853182868763e-04 -6.710149097800049631e-04 -3.732129364209116687e-04 -2.222369022791269061e-04
10 91 2.989848e-02 5.460133e+01 -6.895656853182868763e-04 -6.850850285291668670e-04 -5.821933252506631545e-04 -4.585729989616201029e-04
11 100 3.178843e-02 5.396841e+01 -6.895656853182868763e-04 -6.186659589472554921e-04 -5.370961398193400613e-04 -3.271755590841245610e-04
12 109 3.031059e-02 5.431667e+01 -6.895656853182868763e-04 -6.434604574310713154e-04 -5.439945300197350335e-04 -2.975733160863096652e-04
13 118 3.065781e-02 5.370894e+01 -6.895656853182868763e-04 -6.771048617780256636e-04 -5.092352172559196609e-04 -2.352963723559847687e-04
14 127 2.612431e-02 5.377396e+01 -6.895656853182868763e-04 -6.650403640481594453e-04 -5.356203384950292048e-04 -3.845953203659294769e-04
15 136 2.179655e-02 5.356347e+01 -6.895656853182868763e-04 -6.699392506342200133e-04 -5.962693272405408373e-04 -4.567923942564313484e-04
16 145 1.835838e-02 5.259155e+01 -6.895656853182868763e-04 -6.856851495269523488e-04 -6.219599070418185523e-04 -4.427825698917384721e-04
